# db4a input recording
# frame button down
0 start 1
9 start 0
444 a 1
454 a 0
474 a 1
475 a 0
875 a 1
883 a 0
965 a 1
972 a 0
1006 a 1
1014 a 0
1067 a 1
1073 a 0
1079 a 1
1084 a 0
1091 a 1
1099 a 0
1110 a 1
1115 a 0
1124 a 1
1130 a 0
1139 a 1
1143 a 0
1149 a 1
1154 a 0
1161 a 1
1166 a 0
1175 a 1
1179 a 0
1187 a 1
1191 a 0
1199 a 1
1204 a 0
1211 a 1
1215 a 0
1300 a 1
1304 a 0
1310 a 1
1315 a 0
1321 a 1
1326 a 0
1332 a 1
1337 a 0
1344 a 1
1349 a 0
1354 a 1
1361 a 0
1432 a 1
1437 a 0
1443 a 1
1447 a 0
1556 a 1
1561 a 0
1569 a 1
1575 a 0
2092 right 1
2096 right 0
2097 down 1
2126 right 1
2201 right 0
2220 down 0
2226 down 1
2249 down 0
2773 right 1
2787 right 0
2794 right 1
2843 right 0
2849 right 1
2857 right 0
2873 left 1
2876 left 0
2877 right 1
2881 right 0
2884 left 1
2890 right 1
2893 right 0
2896 right 1
2897 left 0
2921 left 1
2921 right 0
2922 left 0
2924 right 1
2928 right 0
2929 up 1
2937 right 1
2939 up 0
2944 up 1
2952 up 0
2957 right 0
3684 b 1
3689 b 0
5767 a 1
5776 a 0
