# db4a input recording
# frame button down
0 start 1
6 start 0
125 start 1
132 start 0
761 b 1
769 b 0
997 b 1
1004 b 0
1035 b 1
1042 b 0
1113 b 1
1120 b 0
1216 b 1
1222 b 0
1233 b 1
1238 b 0
1246 b 1
1252 b 0
1260 b 1
1265 b 0
1273 b 1
1279 b 0
1286 b 1
1292 b 0
1314 b 1
1321 b 0
1329 b 1
1337 b 0
1345 b 1
1352 b 0
1362 b 1
1369 b 0
1376 b 1
1382 b 0
1389 b 1
1396 b 0
1403 b 1
1410 b 0
1418 b 1
1424 b 0
1432 b 1
1439 b 0
1447 b 1
1455 b 0
1539 b 1
1542 b 0
1564 a 1
1571 a 0
1599 b 1
1610 b 0
1645 a 1
1665 a 0
1671 start 1
1678 start 0
1690 start 1
1694 start 0
1783 start 1
1791 start 0
2188 left 1
2192 left 0
