# db4a input recording
# frame button down
0 a 1
5 a 0
72 a 1
78 a 0
117 a 1
123 a 0
324 a 1
332 a 0
367 a 1
373 a 0
382 a 1
402 a 0
593 a 1
599 a 0
793 a 1
797 a 0
848 a 1
853 a 0
887 a 1
894 a 0
907 a 1
914 a 0
923 a 1
928 a 0
954 a 1
961 a 0
976 a 1
983 a 0
1006 a 1
1012 a 0
1069 a 1
1076 a 0
1198 a 1
1203 a 0
1878 a 1
1887 a 0
1961 a 1
1971 a 0
1974 a 1
1980 a 0
1984 a 1
1990 a 0
1994 a 1
2000 a 0
2004 a 1
2010 a 0
2014 a 1
2020 a 0
2026 a 1
2034 a 0
2047 a 1
2053 a 0
2058 a 1
2064 a 0
2070 a 1
2079 a 0
2090 a 1
2095 a 0
2100 a 1
2108 a 0
2112 a 1
2118 a 0
2124 a 1
2130 a 0
2134 a 1
2141 a 0
2145 a 1
2151 a 0
2155 a 1
2162 a 0
2165 a 1
2172 a 0
2175 a 1
2182 a 0
2186 a 1
2192 a 0
2198 a 1
2204 a 0
2209 a 1
2216 a 0
2222 a 1
2227 a 0
2302 a 1
2309 a 0
2371 a 1
2379 a 0
6887 b 1
6900 b 0
